Semana,Prenda,Unidades
19,SHORT,4
19,VESTIDOS,12
20,BERMUDA,6
20,BLUSAS,80
20,BUSOS,6
20,CAMIBUSOS,22
20,CAMISAS,70
20,CAMISETAS,75
20,CHAQUETAS,4
20,CORREAS,2
20,JEANS,430
20,JOGGER,53
20,PANTALON COLOR,151
20,POLOS,63
20,SHORT,4
20,TAPABOCAS,2
20,VESTIDOS,4
21,BERMUDA,7
21,BLUSAS,61
21,BUSOS,8
21,CAMIBUSOS,10
21,CAMISAS,62
21,CAMISETAS,65
21,CHAQUETAS,5
21,CORREAS,2
21,JEANS,422
21,JOGGER,53
21,PANTALON COLOR,145
21,POLOS,63
21,SHORT,4
21,TAPABOCAS,3
21,VESTIDOS,3
22,BERMUDA,3
22,BLUSAS,70
22,BUSOS,6
22,CAMIBUSOS,15
22,CAMISAS,73
22,CAMISETAS,74
22,CHAQUETAS,6
22,CORREAS,7
22,JEANS,398
22,JOGGER,41
22,PANTALON COLOR,153
22,POLOS,57
22,SHORT,1
22,TAPABOCAS,3
22,VESTIDOS,3
23,BERMUDA,8
23,BLUSAS,50
23,BUSOS,8
23,CAMIBUSOS,13
23,CAMISAS,75
23,CAMISETAS,60
23,CHAQUETAS,8
23,CORREAS,7
23,JEANS,334
23,JOGGER,43
23,PANTALON COLOR,136
23,POLOS,45
23,SHORT,4
23,TAPABOCAS,4
23,VESTIDOS,3
24,BERMUDA,7
24,BLUSAS,38
24,BUSOS,17
24,CAMIBUSOS,16
24,CAMISAS,83
24,CAMISETAS,69
24,CHAQUETAS,12
24,CORREAS,4
24,JEANS,392
24,JOGGER,47
24,PANTALON COLOR,139
24,POLOS,61
24,SHORT,2
24,TAPABOCAS,4
24,VESTIDOS,3
25,BERMUDA,13
25,BLUSAS,57
25,BUSOS,26
25,CAMIBUSOS,48
25,CAMISAS,199
25,CAMISETAS,115
25,CHAQUETAS,14
25,CORREAS,8
25,JEANS,636
25,JOGGER,87
25,PANTALON COLOR,253
25,POLOS,147
25,SHORT,11
25,TAPABOCAS,8
25,VESTIDOS,5
26,BERMUDA,2
26,BLUSAS,43
