Date,UNIDADES
07/04/2021,11
06/04/2021,5
14/04/2021,4
15/04/2021,9
12/04/2021,5
13/04/2021,3
20/04/2021,7
22/04/2021,3
19/04/2021,3
21/04/2021,4
28/04/2021,8
26/04/2021,4
27/04/2021,8
29/04/2021,9
03/05/2021,14
06/05/2021,10
05/05/2021,7
04/05/2021,11
07/05/2021,14
14/05/2021,15
11/05/2021,16
15/05/2021,23
12/05/2021,18
10/05/2021,9
13/05/2021,14
22/05/2021,14
19/05/2021,6
16/05/2021,9
18/05/2021,3
21/05/2021,10
20/05/2021,8
17/05/2021,8
27/05/2021,4
24/05/2021,3
29/05/2021,21
23/05/2021,11
26/05/2021,8
25/05/2021,6
28/05/2021,5
03/06/2021,3
01/06/2021,10
04/06/2021,12
30/05/2021,14
05/06/2021,20
31/05/2021,6
02/06/2021,10
06/06/2021,12
12/06/2021,8
11/06/2021,8
09/06/2021,4
10/06/2021,5
07/06/2021,5
08/06/2021,2
14/06/2021,8
19/06/2021,10
17/06/2021,4
13/06/2021,5
15/06/2021,5
18/06/2021,6
21/06/2021,10
24/06/2021,4
25/06/2021,5
22/06/2021,6
20/06/2021,2
23/06/2021,2
26/06/2021,20
30/06/2021,8
27/06/2021,3
03/07/2021,4
29/06/2021,11
02/07/2021,14
01/07/2021,4
28/06/2021,2
10/07/2021,20
04/07/2021,5
08/07/2021,4
07/07/2021,4
05/07/2021,4
06/07/2021,10
09/07/2021,8
15/07/2021,11
12/07/2021,2
16/07/2021,8
13/07/2021,3
11/07/2021,11
17/07/2021,11
14/07/2021,6
21/07/2021,3
18/07/2021,14
23/07/2021,6
20/07/2021,7
19/07/2021,14
22/07/2021,10
24/07/2021,9
28/07/2021,5
31/07/2021,14
25/07/2021,4
29/07/2021,5
26/07/2021,15
30/07/2021,13
27/07/2021,3
03/08/2021,7
06/08/2021,9
01/08/2021,15
07/08/2021,11
04/08/2021,14
05/08/2021,13
02/08/2021,10
14/08/2021,12
11/08/2021,6
13/08/2021,4
08/08/2021,4
10/08/2021,3
09/08/2021,4
12/08/2021,2
16/08/2021,8
19/08/2021,8
20/08/2021,8
17/08/2021,5
18/08/2021,2
15/08/2021,8
21/08/2021,8
27/08/2021,3
24/08/2021,5
23/08/2021,4
26/08/2021,7
25/08/2021,6
28/08/2021,13
22/08/2021,16
29/08/2021,12
01/09/2021,5
04/09/2021,24
30/08/2021,2
31/08/2021,6
03/09/2021,11
02/09/2021,12
11/09/2021,14
09/09/2021,7
06/09/2021,3
10/09/2021,12
07/09/2021,12
08/09/2021,12
05/09/2021,9
14/09/2021,5
17/09/2021,10
13/09/2021,11
16/09/2021,8
15/09/2021,8
18/09/2021,22
12/09/2021,7
24/09/2021,11
19/09/2021,25
25/09/2021,18
22/09/2021,5
20/09/2021,10
23/09/2021,7
21/09/2021,4
02/10/2021,15
29/09/2021,5
30/09/2021,10
27/09/2021,5
01/10/2021,10
28/09/2021,4
26/09/2021,10
04/10/2021,4
05/10/2021,11
08/10/2021,9
07/10/2021,13
09/10/2021,24
06/10/2021,11
03/10/2021,7
12/10/2021,5
15/10/2021,26
10/10/2021,9
16/10/2021,23
11/10/2021,8
14/10/2021,7
13/10/2021,12
22/10/2021,9
20/10/2021,19
19/10/2021,9
18/10/2021,3
17/10/2021,12
23/10/2021,18
21/10/2021,4
30/10/2021,13
27/10/2021,4
