SEMANA,TIENDA,PRENDA,UNIDADES
17,MAYORCA 1,CAMIBUSOS,3
17,MAYORCA 1,CAMISAS,21
17,MAYORCA 1,CAMISETAS,19
17,MAYORCA 1,CHAQUETAS,2
17,MAYORCA 1,CORREAS,2
17,MAYORCA 1,JEANS,111
17,MAYORCA 1,JOGGER,17
17,MAYORCA 1,PANTALON COLOR,38
17,MAYORCA 1,POLOS,13
17,MAYORCA 1,SHORT,2
17,MAYORCA 1,VESTIDOS,1
17,MAYORCA 2,BLUSAS,22
17,MAYORCA 2,BUSOS,6
17,MAYORCA 2,CAMIBUSOS,4
17,MAYORCA 2,CAMISAS,35
17,MAYORCA 2,CAMISETAS,26
17,MAYORCA 2,CHAQUETAS,4
17,MAYORCA 2,CORREAS,2
17,MAYORCA 2,JEANS,153
17,MAYORCA 2,JOGGER,20
17,MAYORCA 2,PANTALON COLOR,47
17,MAYORCA 2,POLOS,22
17,MAYORCA 2,SHORT,1
17,MAYORCA 2,VESTIDOS,2
17,MOLINOS 1,BERMUDA,5
17,MOLINOS 1,BLUSAS,37
17,MOLINOS 1,BUSOS,12
17,MOLINOS 1,CAMIBUSOS,8
17,MOLINOS 1,CAMISAS,47
17,MOLINOS 1,CAMISETAS,36
17,MOLINOS 1,CHAQUETAS,6
17,MOLINOS 1,CORREAS,4
17,MOLINOS 1,JEANS,238
17,MOLINOS 1,JOGGER,42
17,MOLINOS 1,PANTALON COLOR,84
17,MOLINOS 1,POLOS,52
17,MOLINOS 1,SHORT,4
17,MOLINOS 1,VESTIDOS,4
17,PARQUE LA CEJA,BLUSAS,19
17,PARQUE LA CEJA,BUSOS,10
17,PARQUE LA CEJA,CAMIBUSOS,5
17,PARQUE LA CEJA,CAMISAS,24
17,PARQUE LA CEJA,CAMISETAS,22
17,PARQUE LA CEJA,CHAQUETAS,3
17,PARQUE LA CEJA,CORREAS,3
17,PARQUE LA CEJA,JEANS,107
17,PARQUE LA CEJA,JOGGER,9
17,PARQUE LA CEJA,PANTALON COLOR,31
17,PARQUE LA CEJA,POLOS,16
17,PARQUE LA CEJA,VESTIDOS,3
17,PLAZA FABRICATO,BLUSAS,8
17,PLAZA FABRICATO,BUSOS,5
17,PLAZA FABRICATO,CAMIBUSOS,4
17,PLAZA FABRICATO,CAMISAS,21
17,PLAZA FABRICATO,CAMISETAS,11
17,PLAZA FABRICATO,CHAQUETAS,5
17,PLAZA FABRICATO,CORREAS,1
17,PLAZA FABRICATO,JEANS,90
17,PLAZA FABRICATO,JOGGER,13
17,PLAZA FABRICATO,PANTALON COLOR,31
17,PLAZA FABRICATO,POLOS,25
17,PLAZA FABRICATO,VESTIDOS,1
17,PREMIUM PLAZA,BERMUDA,2
17,PREMIUM PLAZA,BLUSAS,6
17,PREMIUM PLAZA,BUSOS,1
17,PREMIUM PLAZA,CAMIBUSOS,2
17,PREMIUM PLAZA,CAMISAS,12
17,PREMIUM PLAZA,CAMISETAS,10
17,PREMIUM PLAZA,CHAQUETAS,1
17,PREMIUM PLAZA,CORREAS,1
17,PREMIUM PLAZA,JEANS,44
17,PREMIUM PLAZA,JOGGER,11
17,PREMIUM PLAZA,PANTALON COLOR,42
17,PREMIUM PLAZA,POLOS,4
17,PREMIUM PLAZA,VESTIDOS,1
17,PUERTA DEL NTE,BLUSAS,19
17,PUERTA DEL NTE,BUSOS,2
17,PUERTA DEL NTE,CAMIBUSOS,5
17,PUERTA DEL NTE,CAMISAS,21
17,PUERTA DEL NTE,CAMISETAS,24
17,PUERTA DEL NTE,CHAQUETAS,2
17,PUERTA DEL NTE,CORREAS,2
17,PUERTA DEL NTE,JEANS,109
17,PUERTA DEL NTE,JOGGER,18
17,PUERTA DEL NTE,PANTALON COLOR,39
17,PUERTA DEL NTE,POLOS,17
17,PUERTA DEL NTE,TAPABOCAS,1
17,PUERTA DEL NTE,VESTIDOS,3
17,RIONEGRO,BERMUDA,1
17,RIONEGRO,BLUSAS,19
17,RIONEGRO,BUSOS,8
17,RIONEGRO,CAMIBUSOS,4
17,RIONEGRO,CAMISAS,33
17,RIONEGRO,CAMISETAS,23
17,RIONEGRO,CHAQUETAS,5
17,RIONEGRO,CORREAS,3
17,RIONEGRO,JEANS,236
17,RIONEGRO,JOGGER,20
17,RIONEGRO,PANTALON COLOR,59
17,RIONEGRO,POLOS,26
17,RIONEGRO,SHORT,2
17,RIONEGRO PARQUE,BLUSAS,16
17,RIONEGRO PARQUE,BUSOS,5
17,RIONEGRO PARQUE,CAMISAS,18
17,RIONEGRO PARQUE,CAMISETAS,27
17,RIONEGRO PARQUE,CHAQUETAS,3
17,RIONEGRO PARQUE,CORREAS,3
17,RIONEGRO PARQUE,JEANS,93
17,RIONEGRO PARQUE,JOGGER,6
17,RIONEGRO PARQUE,PANTALON COLOR,30
17,RIONEGRO PARQUE,POLOS,10
17,RIONEGRO PARQUE,VESTIDOS,1
17,TERMINAL DEL NORTE,BERMUDA,2
17,TERMINAL DEL NORTE,BLUSAS,21
17,TERMINAL DEL NORTE,BUSOS,3
17,TERMINAL DEL NORTE,CAMIBUSOS,5
17,TERMINAL DEL NORTE,CAMISAS,22
17,TERMINAL DEL NORTE,CAMISETAS,36
17,TERMINAL DEL NORTE,CHAQUETAS,4
17,TERMINAL DEL NORTE,CORREAS,4
17,TERMINAL DEL NORTE,JEANS,119
17,TERMINAL DEL NORTE,JOGGER,16
17,TERMINAL DEL NORTE,PANTALON COLOR,30
17,TERMINAL DEL NORTE,POLOS,23
17,TERMINAL DEL NORTE,SHORT,1
17,TERMINAL DEL NORTE,VESTIDOS,3
17,VIVA ENVIGADO,BLUSAS,14
17,VIVA ENVIGADO,BUSOS,4
17,VIVA ENVIGADO,CAMIBUSOS,4
17,VIVA ENVIGADO,CAMISAS,27
17,VIVA ENVIGADO,CAMISETAS,29
17,VIVA ENVIGADO,CHAQUETAS,6
17,VIVA ENVIGADO,CORREAS,4
17,VIVA ENVIGADO,JEANS,135
17,VIVA ENVIGADO,JOGGER,23
17,VIVA ENVIGADO,PANTALON COLOR,63
17,VIVA ENVIGADO,POLOS,15
17,VIVA ENVIGADO,SHORT,1
17,VIVA ENVIGADO,VESTIDOS,2
18,ARKADIA,BERMUDA,3
18,ARKADIA,BLUSAS,18
18,ARKADIA,BUSOS,3
18,ARKADIA,CAMIBUSOS,2
18,ARKADIA,CAMISAS,21
18,ARKADIA,CAMISETAS,21
18,ARKADIA,CHAQUETAS,3
18,ARKADIA,JEANS,121
18,ARKADIA,JOGGER,19
18,ARKADIA,PANTALON COLOR,33
18,ARKADIA,POLOS,16
18,ARKADIA,VESTIDOS,1
18,COMPRETEX ECOMMERCE,BLUSAS,16
18,COMPRETEX ECOMMERCE,BUSOS,3
18,COMPRETEX ECOMMERCE,CAMIBUSOS,6
18,COMPRETEX ECOMMERCE,CAMISAS,19
18,COMPRETEX ECOMMERCE,CAMISETAS,17
18,COMPRETEX ECOMMERCE,CHAQUETAS,2
18,COMPRETEX ECOMMERCE,CORREAS,1
18,COMPRETEX ECOMMERCE,JEANS,188
18,COMPRETEX ECOMMERCE,JOGGER,44
18,COMPRETEX ECOMMERCE,PANTALON COLOR,32
18,COMPRETEX ECOMMERCE,POLOS,13
18,COMPRETEX ECOMMERCE,SHORT,2
18,COMPRETEX ECOMMERCE,TAPABOCAS,1
18,COMPRETEX ECOMMERCE,VESTIDOS,3
18,GUAYABAL,BLUSAS,28
18,GUAYABAL,BUSOS,4
18,GUAYABAL,CAMIBUSOS,2
18,GUAYABAL,CAMISAS,30
18,GUAYABAL,CAMISETAS,50
18,GUAYABAL,CHAQUETAS,5
18,GUAYABAL,CORREAS,3
18,GUAYABAL,JEANS,187
18,GUAYABAL,JOGGER,23
18,GUAYABAL,PANTALON COLOR,39
18,GUAYABAL,POLOS,21
18,GUAYABAL,TAPABOCAS,1
18,GUAYABAL,VESTIDOS,3
18,LA CENTRAL,BERMUDA,2
18,LA CENTRAL,BLUSAS,25
18,LA CENTRAL,BUSOS,4
18,LA CENTRAL,CAMIBUSOS,3
18,LA CENTRAL,CAMISAS,26
18,LA CENTRAL,CAMISETAS,37
18,LA CENTRAL,CHAQUETAS,3
18,LA CENTRAL,CORREAS,2
18,LA CENTRAL,JEANS,142
18,LA CENTRAL,JOGGER,16
18,LA CENTRAL,PANTALON COLOR,34
18,LA CENTRAL,POLOS,10
18,LA CENTRAL,SHORT,1
18,LA CENTRAL,VESTIDOS,2
18,MARINILLA,BLUSAS,13
18,MARINILLA,BUSOS,7
18,MARINILLA,CAMIBUSOS,2
18,MARINILLA,CAMISAS,15
18,MARINILLA,CAMISETAS,13
18,MARINILLA,CHAQUETAS,2
18,MARINILLA,CORREAS,4
18,MARINILLA,JEANS,71
18,MARINILLA,JOGGER,6
18,MARINILLA,PANTALON COLOR,22
18,MARINILLA,POLOS,14
18,MARINILLA,TAPABOCAS,1
18,MAYORCA 1,BLUSAS,19
18,MAYORCA 1,BUSOS,2
18,MAYORCA 1,CAMIBUSOS,11
18,MAYORCA 1,CAMISAS,28
18,MAYORCA 1,CAMISETAS,20
18,MAYORCA 1,CHAQUETAS,3
18,MAYORCA 1,CORREAS,2
18,MAYORCA 1,JEANS,106
18,MAYORCA 1,JOGGER,24
18,MAYORCA 1,PANTALON COLOR,20
18,MAYORCA 1,POLOS,13
18,MAYORCA 1,SHORT,2
18,MAYORCA 2,BLUSAS,39
18,MAYORCA 2,BUSOS,8
18,MAYORCA 2,CAMIBUSOS,6
18,MAYORCA 2,CAMISAS,23
18,MAYORCA 2,CAMISETAS,37
18,MAYORCA 2,CHAQUETAS,7
18,MAYORCA 2,CORREAS,3
18,MAYORCA 2,JEANS,204
18,MAYORCA 2,JOGGER,33
18,MAYORCA 2,PANTALON COLOR,51
18,MAYORCA 2,POLOS,20
18,MAYORCA 2,SHORT,2
18,MOLINOS 1,BLUSAS,44
18,MOLINOS 1,BUSOS,16
18,MOLINOS 1,CAMIBUSOS,7
18,MOLINOS 1,CAMISAS,54
18,MOLINOS 1,CAMISETAS,56
18,MOLINOS 1,CHAQUETAS,3
18,MOLINOS 1,CORREAS,2
18,MOLINOS 1,JEANS,288
18,MOLINOS 1,JOGGER,34
18,MOLINOS 1,PANTALON COLOR,85
18,MOLINOS 1,POLOS,48
18,MOLINOS 1,SHORT,4
18,MOLINOS 1,VESTIDOS,3
18,PARQUE LA CEJA,BLUSAS,25
18,PARQUE LA CEJA,BUSOS,6
18,PARQUE LA CEJA,CAMIBUSOS,4
18,PARQUE LA CEJA,CAMISAS,17
18,PARQUE LA CEJA,CAMISETAS,16
18,PARQUE LA CEJA,CHAQUETAS,2
18,PARQUE LA CEJA,CORREAS,2
18,PARQUE LA CEJA,JEANS,121
18,PARQUE LA CEJA,JOGGER,8
18,PARQUE LA CEJA,PANTALON COLOR,29
18,PARQUE LA CEJA,POLOS,17
18,PARQUE LA CEJA,VESTIDOS,1
18,PLAZA FABRICATO,BLUSAS,22
18,PLAZA FABRICATO,BUSOS,5
18,PLAZA FABRICATO,CAMIBUSOS,3
18,PLAZA FABRICATO,CAMISAS,26
18,PLAZA FABRICATO,CAMISETAS,11
18,PLAZA FABRICATO,CHAQUETAS,3
18,PLAZA FABRICATO,CORREAS,1
18,PLAZA FABRICATO,JEANS,127
18,PLAZA FABRICATO,JOGGER,27
18,PLAZA FABRICATO,PANTALON COLOR,30
18,PLAZA FABRICATO,POLOS,34
18,PLAZA FABRICATO,SHORT,1
18,PLAZA FABRICATO,VESTIDOS,3
18,PREMIUM PLAZA,BERMUDA,3
18,PREMIUM PLAZA,BLUSAS,9
18,PREMIUM PLAZA,BUSOS,2
18,PREMIUM PLAZA,CAMIBUSOS,3
18,PREMIUM PLAZA,CAMISAS,12
18,PREMIUM PLAZA,CAMISETAS,17
18,PREMIUM PLAZA,CHAQUETAS,2
18,PREMIUM PLAZA,CORREAS,1
18,PREMIUM PLAZA,JEANS,68
18,PREMIUM PLAZA,JOGGER,12
18,PREMIUM PLAZA,PANTALON COLOR,20
18,PREMIUM PLAZA,POLOS,8
18,PREMIUM PLAZA,VESTIDOS,1
18,PUERTA DEL NTE,BLUSAS,34
18,PUERTA DEL NTE,BUSOS,4
18,PUERTA DEL NTE,CAMIBUSOS,6
18,PUERTA DEL NTE,CAMISAS,41
18,PUERTA DEL NTE,CAMISETAS,41
18,PUERTA DEL NTE,CHAQUETAS,4
18,PUERTA DEL NTE,CORREAS,3
18,PUERTA DEL NTE,JEANS,147
18,PUERTA DEL NTE,JOGGER,20
18,PUERTA DEL NTE,PANTALON COLOR,51
18,PUERTA DEL NTE,POLOS,26
18,PUERTA DEL NTE,SHORT,4
18,PUERTA DEL NTE,TAPABOCAS,3
18,PUERTA DEL NTE,VESTIDOS,2
18,RIONEGRO,BLUSAS,41
18,RIONEGRO,BUSOS,3
18,RIONEGRO,CAMIBUSOS,12
18,RIONEGRO,CAMISAS,45
18,RIONEGRO,CAMISETAS,42
18,RIONEGRO,CHAQUETAS,3
18,RIONEGRO,CORREAS,4
18,RIONEGRO,JEANS,260
18,RIONEGRO,JOGGER,23
18,RIONEGRO,PANTALON COLOR,62
18,RIONEGRO,POLOS,33
18,RIONEGRO,TAPABOCAS,1
18,RIONEGRO,VESTIDOS,1
18,RIONEGRO PARQUE,BLUSAS,31
18,RIONEGRO PARQUE,BUSOS,9
18,RIONEGRO PARQUE,CAMIBUSOS,1
18,RIONEGRO PARQUE,CAMISAS,18
18,RIONEGRO PARQUE,CAMISETAS,35
18,RIONEGRO PARQUE,CHAQUETAS,4
18,RIONEGRO PARQUE,CORREAS,4
18,RIONEGRO PARQUE,JEANS,129
18,RIONEGRO PARQUE,JOGGER,9
18,RIONEGRO PARQUE,PANTALON COLOR,37
18,RIONEGRO PARQUE,POLOS,25
18,RIONEGRO PARQUE,VESTIDOS,1
18,TERMINAL DEL NORTE,BERMUDA,1
18,TERMINAL DEL NORTE,BLUSAS,34
18,TERMINAL DEL NORTE,BUSOS,2
18,TERMINAL DEL NORTE,CAMIBUSOS,4
18,TERMINAL DEL NORTE,CAMISAS,28
18,TERMINAL DEL NORTE,CAMISETAS,57
18,TERMINAL DEL NORTE,CHAQUETAS,5
18,TERMINAL DEL NORTE,CORREAS,4
18,TERMINAL DEL NORTE,JEANS,169
18,TERMINAL DEL NORTE,JOGGER,19
18,TERMINAL DEL NORTE,PANTALON COLOR,40
18,TERMINAL DEL NORTE,POLOS,21
18,TERMINAL DEL NORTE,SHORT,1
18,TERMINAL DEL NORTE,TAPABOCAS,1
18,TERMINAL DEL NORTE,VESTIDOS,7
18,VIVA ENVIGADO,BLUSAS,21
18,VIVA ENVIGADO,BUSOS,9
18,VIVA ENVIGADO,CAMIBUSOS,7
18,VIVA ENVIGADO,CAMISAS,31
18,VIVA ENVIGADO,CAMISETAS,34
18,VIVA ENVIGADO,CHAQUETAS,3
18,VIVA ENVIGADO,CORREAS,4
18,VIVA ENVIGADO,JEANS,168
18,VIVA ENVIGADO,JOGGER,20
18,VIVA ENVIGADO,PANTALON COLOR,52
18,VIVA ENVIGADO,POLOS,18
18,VIVA ENVIGADO,SHORT,2
18,VIVA ENVIGADO,TAPABOCAS,3
18,VIVA ENVIGADO,VESTIDOS,8
19,ARKADIA,BERMUDA,2
19,ARKADIA,BLUSAS,32
19,ARKADIA,BUSOS,4
19,ARKADIA,CAMIBUSOS,4
19,ARKADIA,CAMISAS,17
19,ARKADIA,CAMISETAS,27
19,ARKADIA,CHAQUETAS,2
19,ARKADIA,CORREAS,2
19,ARKADIA,JEANS,181
19,ARKADIA,JOGGER,35
19,ARKADIA,PANTALON COLOR,51
19,ARKADIA,POLOS,25
19,ARKADIA,SHORT,2
19,ARKADIA,TAPABOCAS,1
19,ARKADIA,VESTIDOS,3
19,COMPRETEX ECOMMERCE,BERMUDA,1
19,COMPRETEX ECOMMERCE,BLUSAS,39
19,COMPRETEX ECOMMERCE,BUSOS,7
19,COMPRETEX ECOMMERCE,CAMIBUSOS,7
19,COMPRETEX ECOMMERCE,CAMISAS,22
19,COMPRETEX ECOMMERCE,CAMISETAS,32
19,COMPRETEX ECOMMERCE,CHAQUETAS,2
19,COMPRETEX ECOMMERCE,CORREAS,2
19,COMPRETEX ECOMMERCE,JEANS,282
19,COMPRETEX ECOMMERCE,JOGGER,36
19,COMPRETEX ECOMMERCE,PANTALON COLOR,44
19,COMPRETEX ECOMMERCE,POLOS,29
19,COMPRETEX ECOMMERCE,TAPABOCAS,2
19,COMPRETEX ECOMMERCE,VESTIDOS,1
19,GUAYABAL,BERMUDA,2
19,GUAYABAL,BLUSAS,37
19,GUAYABAL,BUSOS,4
19,GUAYABAL,CAMIBUSOS,5
19,GUAYABAL,CAMISAS,38
19,GUAYABAL,CAMISETAS,59
19,GUAYABAL,CHAQUETAS,4
19,GUAYABAL,CORREAS,4
19,GUAYABAL,JEANS,256
19,GUAYABAL,JOGGER,20
19,GUAYABAL,PANTALON COLOR,79
19,GUAYABAL,POLOS,30
19,GUAYABAL,SHORT,1
19,GUAYABAL,TAPABOCAS,1
19,GUAYABAL,VESTIDOS,2
19,LA CENTRAL,BLUSAS,42
19,LA CENTRAL,BUSOS,4
19,LA CENTRAL,CAMIBUSOS,6
19,LA CENTRAL,CAMISAS,31
19,LA CENTRAL,CAMISETAS,51
19,LA CENTRAL,CHAQUETAS,3
19,LA CENTRAL,CORREAS,1
19,LA CENTRAL,JEANS,222
19,LA CENTRAL,JOGGER,37
19,LA CENTRAL,PANTALON COLOR,60
19,LA CENTRAL,POLOS,16
19,LA CENTRAL,SHORT,1
19,LA CENTRAL,TAPABOCAS,1
19,LA CENTRAL,VESTIDOS,4
19,MARINILLA,BERMUDA,1
19,MARINILLA,BLUSAS,14
19,MARINILLA,BUSOS,4
19,MARINILLA,CAMIBUSOS,1
19,MARINILLA,CAMISAS,15
19,MARINILLA,CAMISETAS,20
19,MARINILLA,CHAQUETAS,5
19,MARINILLA,CORREAS,1
19,MARINILLA,JEANS,96
19,MARINILLA,JOGGER,20
19,MARINILLA,PANTALON COLOR,15
19,MARINILLA,POLOS,12
19,MARINILLA,TAPABOCAS,1
19,MARINILLA,VESTIDOS,1
19,MAYORCA 1,BLUSAS,34
19,MAYORCA 1,BUSOS,8
19,MAYORCA 1,CAMIBUSOS,11
19,MAYORCA 1,CAMISAS,37
19,MAYORCA 1,CAMISETAS,37
19,MAYORCA 1,CHAQUETAS,6
19,MAYORCA 1,CORREAS,1
19,MAYORCA 1,JEANS,172
19,MAYORCA 1,JOGGER,52
19,MAYORCA 1,PANTALON COLOR,44
19,MAYORCA 1,POLOS,24
19,MAYORCA 1,SHORT,1
19,MAYORCA 1,VESTIDOS,6
19,MAYORCA 2,BERMUDA,3
19,MAYORCA 2,BLUSAS,34
19,MAYORCA 2,BUSOS,9
19,MAYORCA 2,CAMIBUSOS,14
19,MAYORCA 2,CAMISAS,28
19,MAYORCA 2,CAMISETAS,61
19,MAYORCA 2,CHAQUETAS,7
19,MAYORCA 2,CORREAS,1
19,MAYORCA 2,JEANS,297
19,MAYORCA 2,JOGGER,39
19,MAYORCA 2,PANTALON COLOR,74
19,MAYORCA 2,POLOS,31
19,MAYORCA 2,SHORT,7
19,MAYORCA 2,TAPABOCAS,3
19,MAYORCA 2,VESTIDOS,4
19,MOLINOS 1,BERMUDA,3
19,MOLINOS 1,BLUSAS,100
19,MOLINOS 1,BUSOS,15
19,MOLINOS 1,CAMIBUSOS,11
19,MOLINOS 1,CAMISAS,68
19,MOLINOS 1,CAMISETAS,139
19,MOLINOS 1,CHAQUETAS,10
19,MOLINOS 1,CORREAS,5
19,MOLINOS 1,JEANS,462
19,MOLINOS 1,JOGGER,65
19,MOLINOS 1,PANTALON COLOR,153
19,MOLINOS 1,POLOS,81
19,MOLINOS 1,SHORT,4
19,MOLINOS 1,VESTIDOS,12
19,PARQUE LA CEJA,BERMUDA,1
19,PARQUE LA CEJA,BLUSAS,50
19,PARQUE LA CEJA,BUSOS,12
19,PARQUE LA CEJA,CAMIBUSOS,8
19,PARQUE LA CEJA,CAMISAS,21
19,PARQUE LA CEJA,CAMISETAS,37
19,PARQUE LA CEJA,CHAQUETAS,10
19,PARQUE LA CEJA,CORREAS,2
19,PARQUE LA CEJA,JEANS,176
19,PARQUE LA CEJA,JOGGER,13
19,PARQUE LA CEJA,PANTALON COLOR,50
19,PARQUE LA CEJA,POLOS,19
19,PARQUE LA CEJA,VESTIDOS,2
19,PLAZA FABRICATO,BLUSAS,44
19,PLAZA FABRICATO,BUSOS,9
19,PLAZA FABRICATO,CAMIBUSOS,10
19,PLAZA FABRICATO,CAMISAS,37
19,PLAZA FABRICATO,CAMISETAS,57
19,PLAZA FABRICATO,CHAQUETAS,5
19,PLAZA FABRICATO,CORREAS,2
19,PLAZA FABRICATO,JEANS,196
19,PLAZA FABRICATO,JOGGER,37
19,PLAZA FABRICATO,PANTALON COLOR,50
19,PLAZA FABRICATO,POLOS,21
19,PLAZA FABRICATO,SHORT,1
19,PLAZA FABRICATO,VESTIDOS,6
19,PREMIUM PLAZA,BERMUDA,4
19,PREMIUM PLAZA,BLUSAS,22
19,PREMIUM PLAZA,BUSOS,4
19,PREMIUM PLAZA,CAMIBUSOS,9
19,PREMIUM PLAZA,CAMISAS,27
19,PREMIUM PLAZA,CAMISETAS,39
19,PREMIUM PLAZA,CHAQUETAS,3
19,PREMIUM PLAZA,CORREAS,3
19,PREMIUM PLAZA,JEANS,191
19,PREMIUM PLAZA,JOGGER,26
19,PREMIUM PLAZA,PANTALON COLOR,63
19,PREMIUM PLAZA,POLOS,18
19,PREMIUM PLAZA,VESTIDOS,3
19,PUERTA DEL NTE,BLUSAS,68
19,PUERTA DEL NTE,BUSOS,12
19,PUERTA DEL NTE,CAMIBUSOS,12
19,PUERTA DEL NTE,CAMISAS,37
19,PUERTA DEL NTE,CAMISETAS,71
19,PUERTA DEL NTE,CHAQUETAS,8
19,PUERTA DEL NTE,CORREAS,3
19,PUERTA DEL NTE,JEANS,255
19,PUERTA DEL NTE,JOGGER,30
19,PUERTA DEL NTE,PANTALON COLOR,52
19,PUERTA DEL NTE,POLOS,27
19,PUERTA DEL NTE,SHORT,1
19,PUERTA DEL NTE,VESTIDOS,3
19,RIONEGRO,BERMUDA,2
19,RIONEGRO,BLUSAS,66
19,RIONEGRO,BUSOS,10
19,RIONEGRO,CAMIBUSOS,16
19,RIONEGRO,CAMISAS,49
19,RIONEGRO,CAMISETAS,82
19,RIONEGRO,CHAQUETAS,5
19,RIONEGRO,CORREAS,2
19,RIONEGRO,JEANS,472
19,RIONEGRO,JOGGER,36
19,RIONEGRO,PANTALON COLOR,99
19,RIONEGRO,POLOS,46
19,RIONEGRO,SHORT,1
19,RIONEGRO,TAPABOCAS,1
19,RIONEGRO,VESTIDOS,2
19,RIONEGRO PARQUE,BLUSAS,53
19,RIONEGRO PARQUE,BUSOS,15
19,RIONEGRO PARQUE,CAMIBUSOS,3
19,RIONEGRO PARQUE,CAMISAS,24
19,RIONEGRO PARQUE,CAMISETAS,41
19,RIONEGRO PARQUE,CHAQUETAS,5
19,RIONEGRO PARQUE,CORREAS,2
19,RIONEGRO PARQUE,JEANS,214
19,RIONEGRO PARQUE,JOGGER,18
19,RIONEGRO PARQUE,PANTALON COLOR,29
19,RIONEGRO PARQUE,POLOS,17
19,RIONEGRO PARQUE,VESTIDOS,4
19,TERMINAL DEL NORTE,BLUSAS,36
19,TERMINAL DEL NORTE,BUSOS,5
19,TERMINAL DEL NORTE,CAMIBUSOS,6
19,TERMINAL DEL NORTE,CAMISAS,44
19,TERMINAL DEL NORTE,CAMISETAS,66
19,TERMINAL DEL NORTE,CHAQUETAS,3
19,TERMINAL DEL NORTE,CORREAS,2
19,TERMINAL DEL NORTE,JEANS,230
19,TERMINAL DEL NORTE,JOGGER,25
19,TERMINAL DEL NORTE,PANTALON COLOR,55
19,TERMINAL DEL NORTE,POLOS,46
19,TERMINAL DEL NORTE,SHORT,3
19,TERMINAL DEL NORTE,TAPABOCAS,2
19,TERMINAL DEL NORTE,VESTIDOS,2
19,VIVA ENVIGADO,BERMUDA,5
19,VIVA ENVIGADO,BLUSAS,54
19,VIVA ENVIGADO,BUSOS,7
19,VIVA ENVIGADO,CAMIBUSOS,8
19,VIVA ENVIGADO,CAMISAS,35
19,VIVA ENVIGADO,CAMISETAS,50
19,VIVA ENVIGADO,CHAQUETAS,5
19,VIVA ENVIGADO,CORREAS,2
19,VIVA ENVIGADO,JEANS,266
19,VIVA ENVIGADO,JOGGER,31
19,VIVA ENVIGADO,PANTALON COLOR,83
19,VIVA ENVIGADO,POLOS,35
19,VIVA ENVIGADO,SHORT,1
19,VIVA ENVIGADO,TAPABOCAS,1
19,VIVA ENVIGADO,VESTIDOS,3
20,ARKADIA,BERMUDA,1
20,ARKADIA,BLUSAS,34
20,ARKADIA,BUSOS,3
20,ARKADIA,CAMIBUSOS,6
20,ARKADIA,CAMISAS,21
20,ARKADIA,CAMISETAS,27
20,ARKADIA,CHAQUETAS,2
20,ARKADIA,CORREAS,1
20,ARKADIA,JEANS,148
20,ARKADIA,JOGGER,22
20,ARKADIA,PANTALON COLOR,49
20,ARKADIA,POLOS,18
20,ARKADIA,SHORT,1
20,ARKADIA,VESTIDOS,1
20,COMPRETEX ECOMMERCE,BERMUDA,4
20,COMPRETEX ECOMMERCE,BLUSAS,39
20,COMPRETEX ECOMMERCE,BUSOS,2
20,COMPRETEX ECOMMERCE,CAMIBUSOS,7
20,COMPRETEX ECOMMERCE,CAMISAS,18
20,COMPRETEX ECOMMERCE,CAMISETAS,31
20,COMPRETEX ECOMMERCE,CHAQUETAS,2
20,COMPRETEX ECOMMERCE,CORREAS,1
20,COMPRETEX ECOMMERCE,JEANS,199
20,COMPRETEX ECOMMERCE,JOGGER,37
20,COMPRETEX ECOMMERCE,PANTALON COLOR,29
20,COMPRETEX ECOMMERCE,POLOS,31
20,COMPRETEX ECOMMERCE,SHORT,3
20,COMPRETEX ECOMMERCE,VESTIDOS,5
20,GUAYABAL,BERMUDA,4
20,GUAYABAL,BLUSAS,53
20,GUAYABAL,BUSOS,6
20,GUAYABAL,CAMIBUSOS,10
20,GUAYABAL,CAMISAS,50
20,GUAYABAL,CAMISETAS,53
20,GUAYABAL,CHAQUETAS,6
20,GUAYABAL,CORREAS,5
20,GUAYABAL,JEANS,269
20,GUAYABAL,JOGGER,24
20,GUAYABAL,PANTALON COLOR,81
20,GUAYABAL,POLOS,34
20,GUAYABAL,SHORT,2
20,GUAYABAL,VESTIDOS,3
20,LA CENTRAL,BERMUDA,2
20,LA CENTRAL,BLUSAS,42
20,LA CENTRAL,BUSOS,4
20,LA CENTRAL,CAMIBUSOS,7
20,LA CENTRAL,CAMISAS,37
20,LA CENTRAL,CAMISETAS,49
20,LA CENTRAL,CHAQUETAS,3
20,LA CENTRAL,CORREAS,2
20,LA CENTRAL,JEANS,216
20,LA CENTRAL,JOGGER,32
20,LA CENTRAL,PANTALON COLOR,56
20,LA CENTRAL,POLOS,22
20,LA CENTRAL,SHORT,1
20,LA CENTRAL,VESTIDOS,1
20,MARINILLA,BERMUDA,2
20,MARINILLA,BLUSAS,26
20,MARINILLA,BUSOS,2
20,MARINILLA,CAMIBUSOS,5
20,MARINILLA,CAMISAS,15
20,MARINILLA,CAMISETAS,20
20,MARINILLA,CHAQUETAS,3
20,MARINILLA,CORREAS,2
20,MARINILLA,JEANS,103
20,MARINILLA,JOGGER,10
20,MARINILLA,PANTALON COLOR,41
20,MARINILLA,POLOS,19
20,MARINILLA,TAPABOCAS,1
20,MARINILLA,VESTIDOS,1
20,MAYORCA 1,BERMUDA,2
20,MAYORCA 1,BLUSAS,19
20,MAYORCA 1,BUSOS,3
20,MAYORCA 1,CAMIBUSOS,15
