SEMANA,TIENDA,PRENDA,UNIDADES
2,MARINILLA,CAMISETAS,15
2,MARINILLA,JEANS,83
2,MARINILLA,JOGGER,6
2,MARINILLA,PANTALON COLOR,41
2,MARINILLA,POLOS,14
2,MAYORCA 1,BLUSAS,32
2,MAYORCA 1,BUSOS,4
2,MAYORCA 1,CAMIBUSOS,4
2,MAYORCA 1,CAMISAS,46
2,MAYORCA 1,CAMISETAS,30
2,MAYORCA 1,CORREAS,3
2,MAYORCA 1,JEANS,240
2,MAYORCA 1,JOGGER,18
2,MAYORCA 1,PANTALON COLOR,114
2,MAYORCA 1,POLOS,26
2,MAYORCA 1,TAPABOCAS,1
2,MAYORCA 2,BLUSAS,33
2,MAYORCA 2,BUSOS,6
2,MAYORCA 2,CAMIBUSOS,5
2,MAYORCA 2,CAMISAS,51
2,MAYORCA 2,CAMISETAS,40
2,MAYORCA 2,CORREAS,2
2,MAYORCA 2,JEANS,235
2,MAYORCA 2,JOGGER,15
2,MAYORCA 2,PANTALON COLOR,105
2,MAYORCA 2,POLOS,36
2,MAYORCA 2,TAPABOCAS,5
2,MAYORCA 2,VESTIDOS,3
2,MOLINOS 1,BLUSAS,54
2,MOLINOS 1,BUSOS,9
2,MOLINOS 1,CAMIBUSOS,9
2,MOLINOS 1,CAMISAS,79
2,MOLINOS 1,CAMISETAS,57
2,MOLINOS 1,JEANS,354
2,MOLINOS 1,JOGGER,29
2,MOLINOS 1,PANTALON COLOR,196
2,MOLINOS 1,POLOS,46
2,MOLINOS 1,TAPABOCAS,16
2,MOLINOS 1,VESTIDOS,1
2,PARQUE LA CEJA,BERMUDA,1
2,PARQUE LA CEJA,BLUSAS,21
2,PARQUE LA CEJA,BUSOS,3
2,PARQUE LA CEJA,CAMIBUSOS,6
2,PARQUE LA CEJA,CAMISAS,29
2,PARQUE LA CEJA,CAMISETAS,21
2,PARQUE LA CEJA,CORREAS,1
2,PARQUE LA CEJA,JEANS,99
2,PARQUE LA CEJA,JOGGER,13
2,PARQUE LA CEJA,PANTALON COLOR,63
2,PARQUE LA CEJA,POLOS,20
2,PARQUE LA CEJA,TAPABOCAS,4
2,PREMIUM PLAZA,BLUSAS,34
2,PREMIUM PLAZA,BUSOS,4
2,PREMIUM PLAZA,CAMIBUSOS,7
2,PREMIUM PLAZA,CAMISAS,36
2,PREMIUM PLAZA,CAMISETAS,18
2,PREMIUM PLAZA,CHAQUETAS,2
2,PREMIUM PLAZA,CORREAS,1
2,PREMIUM PLAZA,JEANS,156
2,PREMIUM PLAZA,JOGGER,10
2,PREMIUM PLAZA,PANTALON COLOR,86
2,PREMIUM PLAZA,POLOS,24
2,PREMIUM PLAZA,TAPABOCAS,10
2,PUERTA DEL NTE,BLUSAS,38
2,PUERTA DEL NTE,BUSOS,6
2,PUERTA DEL NTE,CAMIBUSOS,5
2,PUERTA DEL NTE,CAMISAS,60
2,PUERTA DEL NTE,CAMISETAS,31
2,PUERTA DEL NTE,CHAQUETAS,2
2,PUERTA DEL NTE,CORREAS,4
