1,CAMISETAS,5
1,PANTALON COLOR,10
1,TAPABOCAS,2
1,BUSOS,1
1,JEANS,8
1,CAMISAS,3
1,JEANS,27
1,BLUSAS,2
1,JEANS,14
1,BLUSAS,7
1,CAMISETAS,2
1,PANTALON COLOR,15
1,BLUSAS,2
1,CAMISETAS,4
1,CAMISAS,10
1,PANTALON COLOR,2
2,CAMISAS,12
2,CHAQUETAS,1
2,BLUSAS,1
2,CAMIBUSOS,1
2,CAMISAS,1
2,BLUSAS,3
2,CAMISAS,3
2,JEANS,12
2,BLUSAS,1
2,PANTALON COLOR,1
2,JOGGER,1
2,CAMISETAS,1
2,TAPABOCAS,1
2,CAMISAS,3
2,CHAQUETAS,1
2,POLOS,1
2,JEANS,19
2,POLOS,1
2,PANTALON COLOR,7
2,BUSOS,3
2,PANTALON COLOR,10
2,BLUSAS,1
2,POLOS,1
2,PANTALON COLOR,5
2,TAPABOCAS,1
2,CAMIBUSOS,1
2,JEANS,29
2,CHAQUETAS,1
2,JEANS,4
2,BERMUDA,1
2,BLUSAS,6
2,JEANS,12
2,CAMISETAS,5
2,POLOS,12
2,PANTALON COLOR,5
2,PANTALON COLOR,12
2,JOGGER,8
2,PANTALON COLOR,4
2,CAMISETAS,9
2,JEANS,19
2,CAMIBUSOS,1
2,CAMISETAS,3
2,CAMISAS,7
2,BLUSAS,1
2,CAMISETAS,3
2,JOGGER,5
2,CHAQUETAS,1
2,JEANS,4
2,JEANS,12
2,BLUSAS,1
2,JOGGER,1
2,CAMIBUSOS,2
2,BLUSAS,4
2,PANTALON COLOR,4
2,CAMISETAS,4
2,POLOS,1
2,POLOS,2
2,JOGGER,3
2,PANTALON COLOR,1
2,JOGGER,4
2,BLUSAS,1
2,JEANS,28
2,CAMIBUSOS,1
2,CAMISAS,5
2,CHAQUETAS,3
2,CAMISAS,13
2,JEANS,8
2,CAMISETAS,3
2,CAMISAS,3
2,JEANS,6
2,POLOS,4
2,TAPABOCAS,1
2,CAMISETAS,1
2,JOGGER,13
2,JOGGER,3
2,PANTALON COLOR,9
2,BLUSAS,3
2,TAPABOCAS,2
2,JOGGER,2
2,JEANS,12
2,CAMIBUSOS,1
2,JEANS,3
2,CAMISAS,3
2,JOGGER,1
2,CAMIBUSOS,3
2,PANTALON COLOR,10
2,CAMISETAS,3
2,CAMISETAS,1
2,JEANS,56
2,BUSOS,1
2,POLOS,1
2,POLOS,3
2,PANTALON COLOR,17
2,BLUSAS,3
2,BLUSAS,2
2,JOGGER,1
2,POLOS,1
2,JOGGER,4
2,POLOS,5
2,PANTALON COLOR,7
2,CAMISETAS,3
2,PANTALON COLOR,4
2,CORREAS,1
2,CAMIBUSOS,1
2,POLOS,4
2,BERMUDA,1
2,POLOS,2
2,JEANS,14
2,JOGGER,4
2,CAMISAS,6
2,CAMISETAS,6
2,CHAQUETAS,1
2,TAPABOCAS,2
2,JEANS,44
2,BLUSAS,2
2,JOGGER,2
2,PANTALON COLOR,11
2,POLOS,6
2,CAMISAS,5
2,CAMIBUSOS,3
2,JOGGER,3
2,CAMISETAS,4
2,JEANS,7
2,CAMISAS,11
2,BUSOS,1
2,POLOS,1
2,CAMISAS,9
2,POLOS,2
2,CAMISETAS,3
2,PANTALON COLOR,1
2,BLUSAS,4
2,CAMISETAS,3
2,CAMISAS,12
2,BUSOS,1
2,CAMIBUSOS,1
2,PANTALON COLOR,2
2,JEANS,14
3,BUSOS,1
3,CAMISETAS,1
3,CAMISETAS,4
3,CAMISETAS,6
3,TAPABOCAS,3
3,CAMISAS,6
3,JOGGER,2
3,BLUSAS,2
3,JOGGER,3
3,JEANS,31
3,CAMISAS,3
3,CAMIBUSOS,6
3,BLUSAS,3
3,JEANS,10
3,JEANS,17
3,PANTALON COLOR,5
3,POLOS,3
3,BLUSAS,2
3,BLUSAS,1
3,POLOS,3
3,PANTALON COLOR,6
3,JEANS,14
3,JOGGER,6
3,CAMISAS,3
3,CAMIBUSOS,1
3,JEANS,22
3,CAMISAS,8
3,POLOS,5
3,JEANS,16
3,CAMIBUSOS,5
3,VESTIDOS,1
3,JOGGER,3
3,CAMISAS,9
3,PANTALON COLOR,6
3,PANTALON COLOR,11
3,JOGGER,1
3,CHAQUETAS,1
3,BLUSAS,1
3,BLUSAS,4
3,POLOS,3
3,JEANS,42
3,CAMISETAS,4
3,PANTALON COLOR,8
3,CAMISAS,4
3,POLOS,2
3,PANTALON COLOR,12
3,JEANS,14
3,JOGGER,5
3,PANTALON COLOR,4
3,CAMISAS,6
3,CAMISETAS,2
3,CAMISAS,3
3,CAMISETAS,3
3,BLUSAS,3
3,CAMIBUSOS,2
3,CAMISAS,6
3,CAMISAS,8
3,JEANS,11
3,VESTIDOS,2
3,BLUSAS,4
3,PANTALON COLOR,2
3,BLUSAS,6
3,CAMISETAS,4
3,TAPABOCAS,1
3,PANTALON COLOR,11
3,POLOS,3
3,POLOS,5
3,CAMIBUSOS,2
3,PANTALON COLOR,6
3,CAMIBUSOS,1
3,CAMISAS,3
3,JEANS,19
3,BLUSAS,1
3,PANTALON COLOR,5
3,JEANS,28
3,PANTALON COLOR,5
3,JEANS,39
3,CAMISETAS,2
3,POLOS,4
3,BUSOS,1
3,CAMISAS,5
3,CAMISAS,10
3,JEANS,18
3,CAMIBUSOS,2
3,PANTALON COLOR,7
3,JOGGER,3
3,CAMISETAS,3
3,CAMISETAS,5
3,CAMISETAS,1
3,PANTALON COLOR,6
3,POLOS,2
3,POLOS,5
3,CAMIBUSOS,1
3,JOGGER,3
3,PANTALON COLOR,10
3,CAMISAS,2
3,BUSOS,1
3,CAMISAS,4
3,POLOS,2
3,BERMUDA,1
3,JEANS,2
3,CORREAS,1
3,BLUSAS,1
3,CAMISAS,6
3,CAMISETAS,9
3,JOGGER,4
3,PANTALON COLOR,7
3,JEANS,15
3,CAMISETAS,5
3,JEANS,17
3,BLUSAS,5
3,CAMISAS,7
3,JEANS,17
3,CAMIBUSOS,1
3,POLOS,1
3,BLUSAS,3
3,PANTALON COLOR,15
4,JEANS,15
4,POLOS,2
4,JEANS,25
4,BLUSAS,7
4,CHAQUETAS,1
4,POLOS,1
4,JEANS,7
4,PANTALON COLOR,5
4,BLUSAS,6
4,PANTALON COLOR,7
4,BLUSAS,4
4,CAMISAS,5
4,JOGGER,3
4,PANTALON COLOR,13
4,CAMISETAS,3
4,CAMISAS,6
4,PANTALON COLOR,16
4,CAMISETAS,1
4,CAMISAS,5
4,CAMISETAS,9
4,BLUSAS,3
4,PANTALON COLOR,5
4,CAMISETAS,1
4,PANTALON COLOR,11
4,CAMISAS,4
4,POLOS,3
4,CAMISAS,4
4,CAMISAS,3
4,JEANS,10
4,TAPABOCAS,1
4,CAMISETAS,3
4,PANTALON COLOR,2
4,JOGGER,25
4,CAMISAS,2
4,JEANS,17
4,BUSOS,1
4,JEANS,27
4,BUSOS,1
4,JEANS,6
4,BLUSAS,1
4,BLUSAS,9
4,CAMISETAS,7
4,CAMISAS,5
4,JEANS,8
4,PANTALON COLOR,5
4,JEANS,4
4,BLUSAS,4
4,POLOS,8
4,BLUSAS,1
4,CAMISAS,8
4,POLOS,2
4,JOGGER,1
4,CAMISETAS,4
4,PANTALON COLOR,2
4,JOGGER,7
4,TAPABOCAS,2
4,CAMISETAS,1
4,CAMISAS,9
4,PANTALON COLOR,7
4,PANTALON COLOR,12
4,CAMISAS,1
4,CAMISETAS,6
4,JOGGER,2
4,JEANS,19
4,JEANS,8
4,CAMISETAS,1
4,PANTALON COLOR,6
4,CAMISAS,6
4,POLOS,3
4,POLOS,1
4,BLUSAS,5
4,JEANS,5
4,POLOS,1
4,POLOS,1
4,JEANS,9
4,BUSOS,1
4,JEANS,26
4,POLOS,1
4,BUSOS,1
4,CAMISAS,1
4,POLOS,2
4,TAPABOCAS,1
4,CAMISAS,3
4,BLUSAS,1
4,BLUSAS,2
4,JOGGER,1
4,CAMISETAS,3
4,PANTALON COLOR,3
4,JEANS,7
4,PANTALON COLOR,8
4,CAMISETAS,4
4,POLOS,1
4,TAPABOCAS,2
4,CAMISAS,5
4,CAMIBUSOS,2
4,CAMISAS,7
4,JOGGER,3
4,PANTALON COLOR,4
4,CAMISETAS,1
4,PANTALON COLOR,6
4,JOGGER,2
4,JEANS,21
4,BLUSAS,2
4,JEANS,17
4,PANTALON COLOR,28
4,POLOS,4
4,BLUSAS,13
4,BUSOS,1
4,POLOS,1
4,JEANS,11
4,POLOS,9
4,CAMISETAS,2
4,BLUSAS,4
4,CAMISAS,2
4,CAMISETAS,5
4,JEANS,21
4,POLOS,3
4,CAMISETAS,4
4,BLUSAS,2
